timestamp,open,high,low,close,volume,open_interest,funding_rate,oi_change_1h,volume_change_1h,buying_rejection,selling_rejection,target_return_4h,tbm_label
2026-03-09 19:00:00,68327.5,69498.0,68327.5,68951.8,16556.025,86011.858,-0.00011052,0.0,1.806621589458131,546.1999999999971,624.3000000000029,-0.0080882587546662,1
2026-03-09 20:00:00,68951.8,69100.2,68718.0,68916.3,4040.448,86011.858,-0.00011052,0.0,-0.7559530140839966,183.89999999999415,198.3000000000029,0.0028556379260059,1
2026-03-09 21:00:00,68916.3,69064.1,68621.4,68882.7,4209.388,86011.858,-0.00011052,0.0,0.0418121950833174,181.40000000000876,261.3000000000029,0.0050273871378445,1
2026-03-09 22:00:00,68882.7,69000.0,68554.2,68602.2,3669.173,86011.858,-0.00011052,0.0,-0.1283357580721948,397.8000000000029,48.0,0.0239030235181962,1
2026-03-09 23:00:00,68602.2,68663.0,68333.0,68394.1,3348.508,86011.858,-0.00011052,0.0,-0.0873943528964156,268.8999999999942,61.10000000000582,0.0145758186744177,1
2026-03-10 00:00:00,68394.0,69259.9,68345.0,69113.1,9307.003,86011.858,-0.00011052,0.0,1.7794477420988692,146.79999999998836,768.1000000000058,0.0133505804254185,1
2026-03-10 01:00:00,69113.2,69362.9,68721.4,69229.0,6185.545,86011.858,-0.00011052,0.0,-0.3353880943199439,133.89999999999418,507.6000000000058,0.0102457062791605,1
2026-03-10 02:00:00,69229.0,70555.0,69064.0,70242.0,21185.276,86011.858,-0.00011052,0.0,2.4249651405009587,313.0,1178.0,-0.0051593063978815,0
2026-03-10 03:00:00,70242.0,70348.1,69338.5,69391.0,14851.618,86011.858,-0.00011052,0.0,-0.2989650925482396,957.1000000000058,52.5,0.0141761899958207,1
2026-03-10 04:00:00,69391.0,70094.7,69391.0,70035.8,7588.522,86011.858,-0.00011052,0.0,-0.4890440893376062,58.89999999999418,644.8000000000029,0.0087826511584074,1
2026-03-10 05:00:00,70035.8,70330.4,69842.7,69938.3,5896.564,86011.858,-0.00011052,0.0,-0.2229627851115144,392.09999999999127,95.60000000000582,0.0156151922480242,1
2026-03-10 06:00:00,69938.3,70160.3,69719.4,69879.6,5295.311,86011.858,-0.00011052,0.0,-0.1019666707594457,280.6999999999971,160.20000000001164,0.0122782614668658,1
2026-03-10 07:00:00,69879.6,70500.0,69793.7,70374.7,9538.167,86011.858,-0.00011052,0.0,0.8012477454109872,125.30000000000292,581.0,0.0027765660102282,1
2026-03-10 08:00:00,70374.7,71067.2,70332.2,70650.9,17259.654,86011.858,-0.00011052,0.0,0.8095357315509364,416.3000000000029,318.6999999999971,-0.0023226880336979,0
2026-03-10 09:00:00,70650.9,71272.4,70615.5,71030.4,9706.299,86011.858,-0.00011052,0.0,-0.4376307311838348,242.0,414.8999999999942,-0.0161437919538676,0
