timestamp,open,high,low,close,volume,open_interest,funding_rate,oi_change_1h,volume_change_1h,buying_rejection,selling_rejection,target_return_4h
2026-03-10 20:00:00,70005.1,70311.4,69958.1,70192.9,4454.993,87083.339,-0.00011052,0.0,-0.5031174826185649,118.5,234.79999999998836,-0.0027752094585063213
2026-03-10 21:00:00,70192.9,70375.4,69485.7,69712.8,8217.244,87083.339,-0.00011052,0.0,0.8445021125734653,662.5999999999913,227.10000000000582,0.004518538919681895
2026-03-10 22:00:00,69712.9,69830.2,69388.0,69653.9,5305.285,87083.339,-0.00011052,0.0,-0.3543717333938241,176.3000000000029,265.8999999999942,0.0017845375492255699
2026-03-10 23:00:00,69653.9,69938.2,69644.6,69901.9,5647.103,87083.339,-0.00011052,0.0,0.06442971489750327,36.30000000000291,257.29999999998836,-0.005506288098034448
2026-03-11 00:00:00,69901.8,70139.6,69707.8,69998.1,6635.47,87083.339,-0.00011052,0.0,0.1750219537345079,141.5,290.3000000000029,0.0013086069479027469
2026-03-11 01:00:00,69998.1,70114.2,69829.4,70027.8,3919.19,87083.339,-0.00011052,0.0,-0.4093575888369626,86.39999999999418,198.40000000000873,-0.008055372295002925
2026-03-11 02:00:00,70027.9,70087.5,69563.3,69778.2,4765.802,87083.339,-0.00011052,0.0,0.21601708516300544,309.3000000000029,214.89999999999418,0.001845848703463301
2026-03-11 03:00:00,69778.2,69863.0,69455.6,69517.0,4613.949,87083.339,-0.00011052,0.0,-0.03186305264045797,346.0,61.39999999999418,0.0015118604082455488
2026-03-11 04:00:00,69517.0,70249.1,69462.1,70089.7,6002.448,87083.339,-0.00011052,0.0,0.30093505584912195,159.40000000000873,627.5999999999913,-0.006738507940539094
2026-03-11 05:00:00,70089.8,70162.4,69329.7,69463.7,6668.643,87083.339,-0.00011052,0.0,0.11098721721537608,698.6999999999971,134.0,-0.0004678702689318306
2026-03-11 06:00:00,69463.7,69970.2,69454.9,69907.0,5019.578,87083.339,-0.00011052,0.0,-0.2472864419342885,63.19999999999709,452.1000000000058,-0.004813537986181641
2026-03-11 07:00:00,69907.1,69986.8,69456.4,69622.1,4738.076,87083.339,-0.00011052,0.0,-0.05608080998044063,364.6999999999971,165.70000000001164,-0.006867072380752746
2026-03-11 08:00:00,69622.2,69750.0,69464.0,69617.4,4399.906,87083.339,-0.00011052,0.0,-0.07137285260937143,132.60000000000582,153.39999999999418,-0.004286284750651334
2026-03-11 09:00:00,69617.4,69729.0,69324.1,69431.2,5367.111,87083.339,-0.00011052,0.0,0.21982401442212618,297.8000000000029,107.09999999999127,0.010133772713131933
